"Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"FDW58","OUT049",1616.03538782586
"FDW14","OUT017",1071.32517903893
"NCN55","OUT010",492.98779893077
"FDQ58","OUT017",2189.96951390966
"FDY38","OUT027",5726.58326406292
"FDH56","OUT046",2018.50532902701
"FDL48","OUT018",584.51519170456
"FDC48","OUT027",1635.81612378466
"FDN33","OUT045",1381.21034793563
"FDA36","OUT017",3186.59059947815
"FDT44","OUT017",1933.30411528385
"FDQ56","OUT045",1808.781969442
"NCC54","OUT019",939.311668372993
"FDU11","OUT049",2132.75235514015
"DRL59","OUT013",792.042575644171
"FDM24","OUT049",2504.59129477547
"FDI57","OUT045",2412.40969682768
"DRC12","OUT018",2872.68653354648
"NCM42","OUT027",2882.79654239817
"FDA46","OUT010",370.059684848635
"FDA31","OUT013",2699.33752043377
"NCJ31","OUT035",3492.5658557997
"FDG52","OUT046",628.221164114598
"NCL19","OUT019",488.179834579387
"FDS10","OUT035",2985.83355152375
"FDX22","OUT010",875.887558516353
"NCF19","OUT035",483.29450659558
"NCE06","OUT046",2985.24183227289
"DRC27","OUT046",3765.06286307357
"FDE21","OUT035",3026.63054020437
"NCR42","OUT019",34.1021696991866
"FDX51","OUT018",2665.28995720052
"NCR06","OUT018",398.861887435648
"FDU31","OUT027",3863.68553968683
"FDU59","OUT017",3135.36179180788
"FDR03","OUT027",4926.16566456096
"FDS49","OUT027",1656.99818801142
"FDD48","OUT010",418.162930715597
"NCF18","OUT017",3713.27414272924
"NCD43","OUT027",2362.71726582881
"NCD54","OUT018",2135.58316104341
"FDY19","OUT010",371.483170855288
"NCY54","OUT017",2646.549985595
"NCL19","OUT018",2203.68096563733
"FDP23","OUT010",782.918396129686
"FDC26","OUT013",1820.21135507901
"FDR14","OUT010",226.588584970702
"NCS41","OUT035",3614.23793028551
"FDF41","OUT035",2104.7995806588
"FDU34","OUT046",2066.86431771285
"DRH11","OUT046",1012.36321140685
"FDM03","OUT013",2318.8751474612
"FDS31","OUT017",3140.22907114621
"FDJ20","OUT017",1567.11028097706
"FDV44","OUT027",4099.24743114424
"FDG02","OUT049",2922.78442819896
"FDA09","OUT013",3054.53386826033
"FDT04","OUT013",718.108197962973
"FDL58","OUT019",402.581953507934
"FDE52","OUT045",1470.6969199286
"FDW12","OUT035",2500.73766782339
"FDL51","OUT017",2881.04955874104
"NCY42","OUT027",2670.44100711638
"FDR07","OUT017",1915.99751625911
"FDN40","OUT045",2226.1423601651
"FDB35","OUT027",2373.56111927107
"FDA22","OUT017",2391.197173637
"NCL06","OUT046",4736.19529208302
"FDI35","OUT013",3949.47916219682
"NCW42","OUT045",4470.3470977847
"NCX06","OUT049",2757.61271626863
"FDC37","OUT027",2794.33054398795
"FDZ14","OUT018",1753.50269540736
"DRG49","OUT049",3940.80934282498
"NCG06","OUT045",2911.65639504439
"DRC36","OUT045",2751.36789488142
"FDV21","OUT019",353.379743083609
"FDB53","OUT046",2862.50672722775
"DRP47","OUT019",685.29729632922
"FDA14","OUT013",2136.61340577687
"DRC24","OUT035",2416.02190765353
"FDW21","OUT018",1428.86720420941
"NCH29","OUT046",1891.8849562549
"FDU58","OUT013",3471.14513128484
"FDY27","OUT017",2870.03674299027
"FDV56","OUT035",1631.68344895772
"FDT59","OUT046",3778.38377914126
"FDB23","OUT046",2727.89778651881
"FDR49","OUT045",1000.43961894435
"FDB03","OUT010",325.990281107775
"FDN39","OUT045",2279.71525896755
"FDX02","OUT027",5647.37189995824
"FDQ16","OUT027",3012.52011641814
"FDU35","OUT018",1652.10516359946
"NCT29","OUT013",1121.78533780455
"FDZ27","OUT046",683.467396164036
"FDN57","OUT017",2128.15117067737
"FDA03","OUT018",2738.15555676201
"FDZ36","OUT045",3380.69968411404
"NCU05","OUT013",935.779936478101
"FDT39","OUT018",1986.60613370346
"FDK60","OUT017",2037.47289202566
"FDZ25","OUT017",3113.11477660666
"FDG12","OUT046",2245.95541717246
"DRB01","OUT019",618.928385460811
"NCC43","OUT027",5583.38789770543
"FDX13","OUT019",881.630012194806
"FDM22","OUT049",889.175157314721
"FDJ03","OUT027",1422.01823524263
"FDU14","OUT018",4675.49694140719
"FDB33","OUT010",617.01389836667
"FDP27","OUT046",2607.51284847953
"FDO38","OUT010",190.387961551
"FDE28","OUT027",5918.10785953824
"FDO27","OUT035",1698.12950609772
"DRL23","OUT027",2319.85185808705
"FDS28","OUT046",899.295662342143
"FDX24","OUT013",1030.9060650506
"FDZ02","OUT035",1170.04512838401
"FDL46","OUT045",1650.09783407103
"FDS60","OUT027",3813.25684675157
"NCO06","OUT017",491.102153268829
"FDO16","OUT035",1841.21808818743
"FDC60","OUT049",1759.12520406948
"FDA48","OUT018",2804.97827053723
"FDZ36","OUT027",5334.35439798194
"FDK27","OUT045",1702.97700547604
"FDW23","OUT018",588.654428420812
"FDM14","OUT018",1515.83429736732
"FDM14","OUT013",1337.04534798198
"FDW60","OUT018",3322.50608039617
"FDE21","OUT013",2266.33140769226
"NCM42","OUT035",1715.04550458034
"FDY59","OUT010",133.218842188837
"DRI49","OUT049",1739.16996079188
"FDT28","OUT019",256.516525888715
"FDQ22","OUT018",121.608620769676
"FDR60","OUT049",1277.10174621556
"FDC50","OUT019",104.874724702677
"FDV24","OUT013",2651.25570407082
"DRF48","OUT010",526.943479261468
"FDQ47","OUT046",739.256177701848
"DRN36","OUT049",1402.49236211495
"NCY06","OUT035",2232.85384603476
"FDE52","OUT035",1868.37669183467
"NCB54","OUT045",1663.37273682246
"NCF31","OUT035",2262.62248193885
"FDJ08","OUT027",3101.55848110594
"NCC07","OUT017",1817.26800068652
"NCD19","OUT027",1576.63509489796
"FDL46","OUT049",1705.33023476983
"FDM20","OUT045",4821.88402398515
"NCI06","OUT010",657.225484400169
"DRM11","OUT035",5579.40150824559
"NCH07","OUT018",2639.13438863432
"FDS23","OUT013",2068.68828372504
"FDO49","OUT018",513.577877314465
"FDS35","OUT049",1268.58410229096
"DRK39","OUT045",1553.95330176925
"DRI39","OUT049",992.800886448958
"FDV04","OUT017",1912.34130712581
"NCN14","OUT035",3729.42035611167
"FDH08","OUT013",4196.44076524555
"FDS20","OUT046",3884.96477525047
"FDV40","OUT049",1409.54078052915
"FDZ48","OUT010",208.01804023427
"FDS24","OUT027",2339.9458819009
"FDK44","OUT049",1978.44399131429
"FDS48","OUT045",2964.94084984668
"FDK26","OUT010",505.970064196013
"FDD23","OUT045",3632.78045356926
"NCH54","OUT017",2604.39965525747
"NCP14","OUT010",232.232744893257
"FDM60","OUT010",137.365491100217
"FDV24","OUT017",2813.2226129996
"FDH08","OUT018",3756.43042867698
"FDS12","OUT027",3294.81588634926
"FDR39","OUT027",3824.28322077187
"FDP12","OUT027",1150.40426953868
"DRF60","OUT027",5061.77491182156
"FDC09","OUT035",2146.94456026181
"FDF50","OUT018",3253.77381785916
"FDG28","OUT035",3878.95058292393
"NCE19","OUT017",950.746342591607
"NCM53","OUT010",240.469037876423
"NCN18","OUT049",1764.60381445216
"FDF32","OUT035",2889.15755497357
"FDF11","OUT013",4162.79495430785
"DRI59","OUT049",3644.70429675073
"NCG54","OUT035",2566.91313575232
"FDM44","OUT046",2236.90310995155
"FDT57","OUT018",3026.93849767083
"FDV24","OUT046",2853.30515220349
"FDI50","OUT019",1276.28276399993
"FDS09","OUT035",599.491862590783
"NCC31","OUT027",4441.27834675735
"FDQ07","OUT019",709.249844015889
"FDC22","OUT017",3069.16080574012
"FDZ56","OUT046",2843.78168162736
"FDZ40","OUT019",177.155036015167
"FDS46","OUT027",2966.34772970609
"DRD24","OUT045",1681.180209964
"FDV45","OUT017",2984.73277967068
"FDL26","OUT045",2327.72514464555
"FDA56","OUT018",1696.88589926147
"FDN27","OUT046",1807.74190644604
"FDM20","OUT049",3925.82880843703
"FDO16","OUT017",1681.84069529163
"FDL03","OUT035",3257.93292917199
"FDE58","OUT046",2017.681271727
"FDI02","OUT027",2494.66105900996
"NCC55","OUT019",17.2848222931625
"FDR03","OUT018",2902.06356552842
"FDB14","OUT017",1871.64701698457
"FDR45","OUT013",4109.57223747215
"NCN07","OUT017",2035.01827337499
"FDM51","OUT019",544.563144125767
"FDT52","OUT027",4835.90627703543
"FDL26","OUT046",2427.47504027378
"NCZ42","OUT046",3797.30177362777
"DRI47","OUT019",600.293103752516
"FDW40","OUT013",2810.06362961467
"FDN34","OUT046",2595.33104761474
"FDS01","OUT035",3059.25024804409
"NCG55","OUT045",1974.54995656684
"FDC11","OUT035",1486.26652990232
"FDX35","OUT018",3429.60440180755
"NCB06","OUT046",1910.35893551774
"FDR09","OUT019",506.27188981369
"FDC53","OUT017",1984.76642801315
"FDY45","OUT013",3310.98268121095
"FDA22","OUT010",224.113128661962
"FDE02","OUT035",1948.52334569692
"FDW21","OUT045",1665.367414866
"FDV34","OUT046",1357.65575433122
"FDS59","OUT049",2295.59454062301
"NCW17","OUT017",2454.73556956148
"NCK54","OUT046",1583.65682592113
"FDG17","OUT019",417.349565662231
"FDG35","OUT017",3080.87436292333
"FDD08","OUT010",-39.0532573577134
"NCO07","OUT017",4097.51490387433
"FDJ10","OUT010",252.282250175178
"FDW36","OUT017",1708.49026284026
"FDW21","OUT010",226.472636692291
"FDY19","OUT017",1990.42053056183
"DRE03","OUT013",554.348230144699
"NCC55","OUT049",1115.32246629241
"FDH52","OUT010",192.570246278745
"FDO09","OUT017",3665.3291404774
"FDU43","OUT045",3325.48668521181
"FDX09","OUT010",541.720523129141
"FDH40","OUT019",286.233179014829
"FDW58","OUT017",2449.7233228539
"FDC47","OUT017",4655.95942445272
"NCR41","OUT035",1555.27775958689
"DRG49","OUT035",5135.14586033859
"FDC52","OUT027",2707.82761854003
"FDY13","OUT046",1260.20201173769
"FDY35","OUT013",1158.82439248347
"FDI35","OUT017",2749.92392315125
"NCU18","OUT049",1530.61462089237
"FDY33","OUT018",2788.66207001261
"FDC15","OUT027",3405.22629128709
"FDU01","OUT049",2664.75924637602
"NCU42","OUT046",2884.95345575585
"NCV29","OUT018",3297.83982230802
"NCY30","OUT017",3351.08669588571
"FDQ46","OUT049",1602.42249346873
"FDG58","OUT027",4427.08700208951
"FDK33","OUT017",4067.31118003612
"NCD07","OUT045",1766.15333203311
"NCX29","OUT027",4404.2291962624
"NCT42","OUT013",2354.49254190444
"DRN59","OUT035",777.210790269904
"FDI44","OUT035",1206.61406733917
"FDA45","OUT049",2312.54173929829
"FDP31","OUT045",893.875991138412
"FDY01","OUT046",2191.25636953147
"FDT09","OUT018",1938.37887628582
