"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","first.two.char","first.three.char","year"
"FDA15",9.3,"Low Fat",0.0160477847023769,"Dairy",249.8092,"OUT049","Medium","Tier 1","Supermarket Type1",3735.138,"FD","FDA","14"
"DRC01",5.92,"Regular",0.0192826424346972,"Soft Drinks",48.2692,"OUT018","Medium","Tier 3","Other Supermarket",443.4228,"DR","DRC","4"
"FDN15",17.5,"Low Fat",0.0167605801870164,"Meat",141.618,"OUT049","Medium","Tier 1","Supermarket Type1",2097.27,"FD","FDN","14"
"FDX07",19.2,"Regular",0.0234566750972123,"Fruits and Vegetables",182.095,"OUT010","Small","Tier 3","Grocery Store",732.38,"FD","FDX","15"
"NCD19",8.93,"Low Fat",0.0132039398797499,"Household",53.8614,"OUT013","High","Tier 3","Supermarket Type1",994.7052,"NC","NCD","26"
"FDP36",10.395,"Regular",0.0911933369229347,"Baking Goods",51.4008,"OUT018","Medium","Tier 3","Other Supermarket",556.6088,"FD","FDP","4"
"FDO10",13.65,"Regular",0.0127388776116111,"Snack Foods",57.6588,"OUT013","High","Tier 3","Supermarket Type1",343.5528,"FD","FDO","26"
"FDP10",19,"Low Fat",0.12741926825353,"Snack Foods",107.7622,"OUT027","Medium","Tier 3","Other Supermarket",4022.7636,"FD","FDP","28"
"FDH17",16.2,"Regular",0.0166881142876564,"Frozen Foods",96.9726,"OUT045","Small","Tier 2","Supermarket Type1",1076.5986,"FD","FDH","11"
"FDU28",19.2,"Regular",0.0944746881206103,"Frozen Foods",187.8214,"OUT017","Small","Tier 2","Supermarket Type1",4710.535,"FD","FDU","6"
"FDY07",11.8,"Low Fat",0.121852108790715,"Fruits and Vegetables",45.5402,"OUT049","Medium","Tier 1","Supermarket Type1",1516.0266,"FD","FDY","14"
"FDA03",18.5,"Regular",0.0454581994263092,"Dairy",144.1102,"OUT046","Small","Tier 1","Supermarket Type1",2187.153,"FD","FDA","16"
"FDX32",15.1,"Regular",0.100016514635774,"Fruits and Vegetables",145.4786,"OUT049","Medium","Tier 1","Supermarket Type1",1589.2646,"FD","FDX","14"
"FDS46",17.6,"Regular",0.0472515345477048,"Snack Foods",119.6782,"OUT046","Small","Tier 1","Supermarket Type1",2145.2076,"FD","FDS","16"
"FDF32",16.35,"Low Fat",0.0680124934623342,"Fruits and Vegetables",196.4426,"OUT013","High","Tier 3","Supermarket Type1",1977.426,"FD","FDF","26"
"FDP49",9,"Regular",0.0690804911262974,"Breakfast",56.3614,"OUT046","Small","Tier 1","Supermarket Type1",1547.3192,"FD","FDP","16"
